FDS Case,Wall Clock Time (s),CPU Time (s),Number of Cells,Number of Time Steps,Performance Metric (1e-6)
rotated_cube_0deg_256_stm.fds,1510.251, 1.270E+03,65536,640,30
rotated_cube_0deg_256_obs.fds,832.536, 7.696E+02,65536,640,18
rotated_cube_0deg_320_stm.fds,2020.409, 1.834E+03,102400,800,22
rotated_cube_0deg_320_obs.fds,1523.678, 1.354E+03,102400,800,16
rotated_cube_27deg_32_stm.fds,2.848, 2.212E+00,1024,54,40
rotated_cube_27deg_64_stm.fds,16.093, 1.462E+01,4096,107,33
rotated_cube_27deg_128_stm.fds,106.346, 9.881E+01,16384,214,28
rotated_cube_27deg_256_stm.fds,772.282, 7.018E+02,65536,428,25
rotated_cube_27deg_320_stm.fds,1296.016, 1.145E+03,102400,535,20
rotated_cube_45deg_32_stm.fds,3.485, 3.114E+00,1024,68,44
rotated_cube_45deg_64_stm.fds,20.093, 1.829E+01,4096,135,33
rotated_cube_45deg_128_stm.fds,124.192, 1.152E+02,16384,269,26
rotated_cube_45deg_256_stm.fds,1156.678, 1.028E+03,65536,538,29
rotated_cube_45deg_320_stm.fds,1729.558, 1.551E+03,102400,673,22
cone_1mesh.fds,3.949, 1.384E-01,300,3,0
geom_mass_file_test.fds,79.233, 1.012E+01,64000,3,52
activate_vents.fds,9.939, 7.023E+00,2100,400,8
control_test_2.fds,11.152, 6.393E+00,8800,100,7
create_remove.fds,37.288, 3.352E+01,40,700,1197
cycle_test.fds,9.015, 5.283E+00,40,126,1048
device_test.fds,335.053, 3.258E+02,60,900,6033
hrr_freeze.fds,83.583, 7.710E+01,8000,900,10
rms_cov_corr.fds,237.612, 2.376E+02,1000,900,264
rms_example.fds,5.018, 1.548E+00,27,900,63
special_time_ramps.fds,0.288, 2.447E-01,64,251,0
aspiration_detector.fds,9.473, 9.409E+00,1000,900,10
smoke_detector.fds,5.676, 2.036E+00,125,314,51
energy_budget_adiabatic_walls.fds,2416.555, 2.416E+03,32000,900,83
energy_budget_adiabatic_two_fuels.fds,557.196, 5.571E+02,4000,900,154
energy_budget_cold_walls.fds,2708.918, 2.701E+03,32000,900,93
energy_budget_combustion.fds,130.564, 1.249E+02,8000,999,15
energy_budget_dns_100.fds,2296.505, 2.296E+03,2500,900,1020
energy_budget_particles.fds,118.518, 1.156E+02,1000,900,128
energy_budget_solid.fds,273.443, 2.734E+02,1000,900,303
energy_budget_tmix.fds,13.978, 1.393E+01,121,900,127
test_hrr_2d_cyl.fds,24.284, 1.896E+01,800,900,26
test_hrr_3d.fds,285.213, 2.773E+02,64000,817,5
extinction_1.fds,7.509, 6.048E+00,,0,0
extinction_2.fds,7.565, 6.102E+00,,0,0
box_burn_away2.fds,54.534, 5.104E+01,1000,900,56
box_burn_away3.fds,23.935, 1.753E+01,1000,608,28
box_burn_away4.fds,19.724, 1.517E+01,1000,600,25
box_burn_away5.fds,63.879, 5.857E+01,1000,900,65
box_burn_away6.fds,67.624, 6.309E+01,1000,900,70
box_burn_away7.fds,33.065, 2.773E+01,1000,900,30
box_burn_away8.fds,21.931, 1.650E+01,1000,600,27
box_burn_away_2D.fds,23.739, 1.737E+01,100,900,193
box_burn_away_2D_residue.fds,22.535, 1.632E+01,100,900,181
fire_const_gamma.fds,163.146, 1.630E+02,8192,900,22
spray_burner.fds,3157.453, 3.147E+03,24000,900,145
HoC_Ideal.fds,6.854, 1.551E+00,1000,147,10
HoC_NonIdeal.fds,6.819, 1.596E+00,1000,152,10
simple_test.fds,810.381, 8.044E+02,20736,900,43
tmp_lower_limit_simple.fds,9.366, 9.167E+00,2000,180,25
tmp_lower_limit_default.fds,106.275, 1.009E+02,8000,436,28
tmp_lower_limit_dt_p001.fds,208.814, 2.034E+02,8000,900,28
tunnel_const_gamma.fds,20.289, 2.015E+01,400,900,55
tunnel_linear_cp.fds,22.499, 2.230E+01,400,900,61
divergence_test_1.fds,29.125, 2.523E+01,8000,379,8
divergence_test_2.fds,4.199, 7.006E-01,81,57,0
cyl_test_1.fds,27.419, 2.411E+01,2400,630,15
cyl_test_2.fds,26.271, 2.300E+01,2400,630,15
cyl_test_3.fds,2047.690, 2.041E+03,5000,900,453
cyl_test_4.fds,2186.218, 2.178E+03,5000,900,484
gas_filling.fds,508.856, 5.045E+02,15360,900,36
helium_1d_isothermal.fds,9.935, 9.797E+00,8192,150,7
