FDS Case,Wall Clock Time (s),CPU Time (s),Number of Cells,Number of Time Steps,Performance Metric (1e-6)
vort2d_320.fds,3358.171, 3.353E+03,102400,900,36
isentropic.fds,1101.119, 1.101E+03,40,900,30583
isentropic2.fds,1161.980, 1.162E+03,40,900,32277
pressure_boundary.fds,3386.209, 3.376E+03,80000,900,46
pressure_rise.fds,439.717, 4.353E+02,60,900,8061
zone_break_fast.fds,310.196, 3.058E+02,30000,600,16
zone_break_slow.fds,344.311, 3.396E+02,30000,600,18
zone_break_fast_ulmat.fds,439.626, 4.303E+02,30000,600,23
zone_break_slow_ulmat.fds,349.491, 3.449E+02,30000,600,19
obst_coarse_fine_interface.fds,5.048, 3.998E-01,12,43,0
dancing_eddies_1mesh.fds,1338.506, 1.335E+03,12000,900,123
opening_ulmat.fds,9.816, 5.250E+00,512,57,179
cable_11_insulation_mcc.fds,9.434, 8.237E+00,12,900,762
cable_23_insulation_mcc.fds,8.387, 8.286E+00,12,900,767
cable_701_insulation_mcc.fds,9.415, 8.081E+00,12,900,748
cable_11_jacket_mcc.fds,9.072, 8.125E+00,12,900,752
cable_23_jacket_mcc.fds,9.190, 7.969E+00,12,900,737
cable_701_jacket_mcc.fds,9.140, 7.768E+00,12,900,719
cell_burn_away.fds,25.091, 1.860E+01,125,900,165
cone_demo.fds,4.971, 4.696E+00,12,900,434
cone_demo_2.fds,0.909, 8.096E-01,16,900,0
birch_tga_1step_2.fds,4.900, 2.906E+00,12,900,269
birch_tga_1step_20.fds,1.285, 4.252E-01,12,900,0
enthalpy.fds,5.011, 9.369E-01,36,900,0
ice_cube.fds,57.930, 5.153E+01,1000,900,57
liquid_mixture.fds,59.637, 5.549E+01,1000,900,61
part_baking_soda_420K.fds,4.180, 3.170E+00,125,900,28
part_baking_soda_450K.fds,4.181, 3.123E+00,125,900,27
part_baking_soda_500K.fds,4.434, 3.924E+00,125,900,34
pyrolysis_1.fds,5.307, 5.265E+00,12,900,487
pyrolysis_2.fds,4.374, 4.319E+00,12,900,399
specified_hrr.fds,8.891, 4.308E-01,36,331,0
shrink_swell.fds,3.987, 1.784E-01,18,150,0
surf_mass_vent_liquid_fuel.fds,58.262, 5.076E+01,216,900,261
surf_mass_vent_liquid_fuel_nonconforming.fds,42.945, 3.622E+01,125,900,321
surf_mass_part_char_cart_fuel.fds,57.735, 5.107E+01,216,900,262
surf_mass_part_char_cart_gas.fds,48.520, 4.369E+01,216,900,224
surf_mass_part_char_cyl_fuel.fds,34.028, 2.826E+01,216,900,145
surf_mass_part_char_cyl_gas.fds,46.256, 3.735E+01,216,900,192
surf_mass_part_char_spher_fuel.fds,38.005, 3.099E+01,216,900,159
surf_mass_part_char_spher_gas.fds,45.151, 3.620E+01,216,900,186
surf_mass_part_nonchar_cart_fuel.fds,46.004, 3.590E+01,216,900,184
surf_mass_part_nonchar_cart_gas.fds,30.302, 2.646E+01,216,900,136
surf_mass_part_nonchar_cyl_fuel.fds,34.704, 2.784E+01,216,900,143
surf_mass_part_nonchar_cyl_gas.fds,27.547, 2.263E+01,216,900,116
surf_mass_part_nonchar_spher_fuel.fds,29.317, 2.407E+01,216,900,123
surf_mass_part_nonchar_spher_gas.fds,25.799, 2.111E+01,216,900,108
surf_mass_vent_char_cart_fuel.fds,53.676, 4.790E+01,216,900,246
surf_mass_vent_char_cart_gas.fds,63.635, 5.814E+01,216,900,299
surf_mass_vent_char_cyl_fuel.fds,33.856, 2.843E+01,216,900,146
surf_mass_vent_char_cyl_gas.fds,33.338, 2.860E+01,216,900,147
surf_mass_vent_char_spher_fuel.fds,33.494, 2.678E+01,216,900,137
surf_mass_vent_char_spher_gas.fds,28.682, 2.159E+01,216,900,111
surf_mass_vent_nonchar_cart_fuel.fds,58.657, 5.187E+01,216,900,266
surf_mass_vent_nonchar_cart_gas.fds,59.690, 5.581E+01,216,900,287
surf_mass_vent_nonchar_cyl_fuel.fds,48.698, 4.313E+01,216,900,221
surf_mass_vent_nonchar_cyl_gas.fds,35.149, 3.181E+01,216,900,163
surf_mass_vent_nonchar_spher_fuel.fds,30.158, 2.491E+01,216,900,128
surf_mass_vent_nonchar_spher_gas.fds,28.445, 2.476E+01,216,900,127
