FDS Case,Wall Clock Time (s),CPU Time (s),Number of Cells,Number of Time Steps,Performance Metric (1e-6)
openmp_test64d.fds,679.800, 6.716E+02,262144,900,2
openmp_test64e.fds,635.634, 6.276E+02,262144,900,2
openmp_test64f.fds,601.882, 5.941E+02,262144,900,2
openmp_test64g.fds,689.477, 6.805E+02,262144,900,2
openmp_test64h.fds,571.329, 5.635E+02,262144,900,2
openmp_test128a.fds,644.868, 5.822E+02,2097152,81,3
openmp_test128b.fds,477.559, 4.307E+02,2097152,81,2
openmp_test128c.fds,381.452, 3.430E+02,2097152,81,2
openmp_test128d.fds,337.161, 3.024E+02,2097152,81,1
openmp_test128e.fds,317.103, 2.837E+02,2097152,81,1
openmp_test128f.fds,290.739, 2.604E+02,2097152,81,1
openmp_test128g.fds,329.128, 2.960E+02,2097152,81,1
openmp_test128h.fds,269.824, 2.408E+02,2097152,81,1
csmag0_32.fds,29.701, 2.927E+01,32768,46,19
csmag_32.fds,25.071, 2.069E+01,32768,28,22
csmag_64.fds,155.355, 1.494E+02,262144,58,9
dsmag_32.fds,33.409, 3.283E+01,32768,32,31
dsmag_64.fds,214.732, 2.060E+02,262144,63,12
mu0_32.fds,303.315, 3.029E+02,32768,670,13
deardorff_32.fds,24.238, 2.378E+01,32768,31,23
deardorff_64.fds,198.220, 1.896E+02,262144,63,11
vreman_32.fds,23.793, 2.055E+01,32768,32,19
vreman_64.fds,208.217, 1.991E+02,262144,65,11
wale_32.fds,24.858, 2.441E+01,32768,47,15
wale_64.fds,218.778, 2.134E+02,262144,95,8
yplus_8.fds,44.107, 4.406E+01,64,900,764
yplus_16.fds,120.500, 1.204E+02,128,900,1045
yplus_32.fds,419.481, 4.194E+02,256,900,1820
sem_flat_leddy_p2.fds,1029.187, 1.029E+03,35937,900,31
sem_par_leddy_p2.fds,735.761, 7.355E+02,35937,900,22
sem_atm_leddy_p2.fds,1309.771, 1.305E+03,35937,900,40
sem_ramp_leddy_p2.fds,695.412, 6.903E+02,35937,900,21
sem_open_wind.fds,1847.847, 1.844E+03,99840,900,20
ramp_prof_u_z.fds,2463.265, 2.460E+03,24000,900,113
Bova_1a.fds,34.147, 3.080E+01,40000,465,1
Bova_1b.fds,48.650, 4.546E+01,40000,697,1
Bova_4a.fds,63.919, 6.070E+01,40000,929,1
bulk_density_file.fds,17.034, 2.198E+00,75000,1,29
char_oxidation_1.fds,37.802, 2.902E+01,2000,900,16
char_oxidation_2.fds,212.531, 2.085E+02,1000,900,231
dragon_5a.fds,2690.812, 2.682E+03,12000,900,248
hot_rods.fds,1289.590, 1.281E+03,1000,900,1423
level_set_fuel_model_1.fds,795.629, 7.865E+02,25600,900,34
Needle_TGA_A.fds,14.373, 1.382E+01,12,900,1279
Needle_TGA_B.fds,14.132, 1.168E+01,12,900,1081
Needle_TGA_C.fds,13.854, 1.343E+01,12,900,1243
Needle_TGA_D.fds,14.398, 1.368E+01,12,900,1266
Needle_TGA_E.fds,38.668, 3.764E+01,12,900,3485
Needle_TGA_F.fds,3.911, 3.601E+00,12,900,333
Needle_TGA_G.fds,8.790, 7.050E+00,12,900,652
Needle_TGA_H.fds,4.386, 4.322E+00,12,900,400
pine_needles.fds,84.015, 7.841E+01,1000,900,87
radiation_gas-veg_consistency_gas.fds,29.652, 2.931E+01,5760,392,12
radiation_gas-veg_consistency_veg.fds,79.456, 7.388E+01,5760,392,32
random_walk_1.fds,290.561, 2.903E+02,2000,120,1209
random_walk_2.fds,239.736, 2.394E+02,2000,120,997
vegetation_drag_1.fds,119.956, 1.104E+02,120,328,2804
vegetation_drag_2.fds,140.983, 1.321E+02,120,442,2490
60d1a65d0
318034.848
